zone_id,hour_of_day,day_of_week,is_weekend,incident_count
Zone_7,19,4,0,4
Zone_13,20,6,1,6
Zone_8,20,3,0,4
Zone_6,20,1,0,5
Zone_5,0,3,0,3
Zone_1,9,3,0,5
Zone_15,18,3,0,3
Zone_5,18,6,1,6
Zone_2,3,0,0,4
Zone_2,19,3,0,5
Zone_8,14,2,0,4
Zone_4,1,5,1,5
Zone_13,17,1,0,3
Zone_14,15,6,1,4
Zone_12,7,4,0,1
Zone_8,12,0,0,2
Zone_1,6,0,0,3
Zone_15,10,2,0,3
Zone_10,8,3,0,6
Zone_7,22,5,1,3
Zone_12,7,5,1,5
Zone_3,0,4,0,2
Zone_15,14,1,0,0
Zone_3,6,0,0,1
Zone_4,4,6,1,4
Zone_4,12,6,1,4
Zone_12,1,1,0,4
Zone_4,10,1,0,1
Zone_7,0,0,0,2
Zone_9,19,4,0,4
Zone_11,8,5,1,6
Zone_10,11,6,1,4
Zone_8,8,3,0,4
Zone_10,19,3,0,4
Zone_3,16,4,0,0
Zone_11,16,1,0,3
Zone_1,0,2,0,3
Zone_6,22,3,0,1
Zone_11,16,6,1,7
Zone_1,8,3,0,4
Zone_4,3,2,0,3
Zone_4,8,0,0,5
Zone_1,10,3,0,2
Zone_14,9,2,0,5
Zone_10,15,0,0,2
Zone_14,11,4,0,4
Zone_3,15,2,0,1
Zone_8,19,2,0,8
Zone_14,2,0,0,3
Zone_14,17,1,0,4
Zone_4,0,5,1,4
Zone_8,7,6,1,6
Zone_12,18,5,1,5
Zone_14,5,5,1,5
Zone_11,1,4,0,4
Zone_1,4,3,0,2
Zone_1,16,3,0,4
Zone_5,23,4,0,5
Zone_13,20,6,1,5
Zone_2,9,6,1,9
Zone_15,21,6,1,2
Zone_10,1,1,0,4
Zone_7,9,6,1,7
Zone_13,6,0,0,3
Zone_14,15,5,1,6
Zone_2,1,6,1,6
Zone_15,21,1,0,2
Zone_6,14,5,1,4
Zone_5,11,3,0,3
Zone_4,14,2,0,5
Zone_3,16,6,1,4
Zone_5,20,5,1,9
Zone_10,0,6,1,4
Zone_6,15,0,0,2
Zone_13,6,6,1,4
Zone_12,15,2,0,2
Zone_12,4,6,1,3
Zone_14,19,4,0,6
Zone_5,6,3,0,3
Zone_5,22,1,0,4
Zone_10,18,1,0,4
Zone_4,15,6,1,7
Zone_12,0,0,0,4
Zone_10,10,3,0,2
Zone_15,13,1,0,1
Zone_3,22,0,0,2
Zone_10,1,2,0,2
Zone_10,20,1,0,6
Zone_4,9,4,0,7
Zone_1,6,6,1,5
Zone_7,2,0,0,3
Zone_9,21,4,0,2
Zone_13,8,2,0,3
Zone_12,13,6,1,4
Zone_5,2,3,0,2
Zone_5,3,4,0,5
Zone_10,6,5,1,4
Zone_13,10,2,0,2
Zone_9,9,1,0,3
Zone_14,12,1,0,4
Zone_5,4,5,1,7
Zone_1,6,0,0,3
Zone_15,18,4,0,4
Zone_10,18,6,1,7
Zone_12,19,3,0,6
Zone_14,16,0,0,4
Zone_10,11,4,0,2
Zone_6,20,2,0,3
Zone_4,17,6,1,5
Zone_6,21,2,0,2
Zone_10,15,5,1,5
Zone_10,3,1,0,3
Zone_12,4,0,0,0
Zone_6,16,0,0,1
Zone_13,15,4,0,1
Zone_13,5,1,0,2
Zone_2,9,5,1,7
Zone_8,0,5,1,6
Zone_10,21,2,0,3
Zone_15,0,4,0,1
Zone_12,16,4,0,5
Zone_5,13,0,0,2
Zone_13,12,3,0,1
Zone_8,1,3,0,2
Zone_10,1,5,1,6
Zone_12,4,5,1,4
Zone_15,14,6,1,4
